0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  1.25  1.5  1.75  2.0  2.25  2.5  2.75  3.0  3.25  3.5  3.75  4.0  4.25  4.5  4.75  5.0  5.5  6.0  6.5  7.0 
2.4  1.577E+08  5.438E+07  2.097E+07  9.037E+06  3.895E+06  1.535E+06  6.051E+05  2.582E+05  1.193E+05  5.514E+04  2.356E+04  1.007E+04  3.564E+03  1.262E+03  4.655E+02  1.717E+02  4.177E+01  1.016E+01  2.473E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
2.5  1.278E+08  4.126E+07  1.588E+07  7.289E+06  3.345E+06  1.563E+06  7.303E+05  3.617E+05  1.900E+05  9.978E+04  6.314E+04  3.995E+04  2.067E+04  1.070E+04  4.794E+03  2.148E+03  8.223E+02  3.148E+02  1.011E+02  3.249E+01  9.528E+00  2.794E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
2.6  1.010E+08  3.019E+07  1.169E+07  5.873E+06  2.949E+06  1.610E+06  8.789E+05  5.078E+05  3.105E+05  1.898E+05  1.307E+05  8.997E+04  5.567E+04  3.444E+04  1.900E+04  1.048E+04  5.117E+03  2.497E+03  1.011E+03  4.095E+02  1.153E+02  3.249E+01  7.853E+00  1.898E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
2.7  7.479E+07  2.080E+07  8.244E+06  4.656E+06  2.629E+06  1.673E+06  1.065E+06  7.014E+05  4.780E+05  3.257E+05  2.227E+05  1.522E+05  9.953E+04  6.507E+04  3.995E+04  2.453E+04  1.402E+04  8.011E+03  4.205E+03  2.207E+03  1.105E+03  5.532E+02  2.531E+02  1.158E+02  4.892E+01  2.066E+01  3.431E+00  0.000E+00  0.000E+00  0.000E+00
2.8  4.305E+07  1.344E+07  6.027E+06  3.880E+06  2.497E+06  1.798E+06  1.295E+06  9.638E+05  7.412E+05  5.700E+05  3.656E+05  2.345E+05  1.530E+05  9.978E+04  6.314E+04  3.995E+04  2.486E+04  1.547E+04  9.625E+03  5.989E+03  3.414E+03  1.946E+03  1.034E+03  5.498E+02  2.722E+02  1.348E+02  2.895E+01  5.697E+00  0.000E+00  0.000E+00
2.9  2.096E+07  9.892E+06  5.628E+06  3.861E+06  2.649E+06  2.023E+06  1.545E+06  1.230E+06  1.022E+06  8.496E+05  5.643E+05  3.748E+05  2.523E+05  1.698E+05  1.129E+05  7.508E+04  4.976E+04  3.297E+04  2.110E+04  1.350E+04  8.624E+03  5.507E+03  3.322E+03  2.004E+03  1.098E+03  6.012E+02  1.556E+02  3.526E+01  6.740E+00  1.205E+00
3.0  2.197E+07  1.063E+07  6.175E+06  4.301E+06  2.996E+06  2.359E+06  1.857E+06  1.514E+06  1.278E+06  1.079E+06  7.340E+05  4.992E+05  3.311E+05  2.197E+05  1.467E+05  9.800E+04  6.487E+04  4.294E+04  2.779E+04  1.798E+04  1.176E+04  7.687E+03  5.071E+03  3.345E+03  2.239E+03  1.499E+03  6.290E+02  1.998E+02  3.992E+01  3.196E+00
3.1  2.411E+07  1.187E+07  7.006E+06  4.953E+06  3.502E+06  2.791E+06  2.225E+06  1.817E+06  1.520E+06  1.272E+06  8.788E+05  6.074E+05  4.103E+05  2.771E+05  1.847E+05  1.231E+05  8.297E+04  5.595E+04  3.688E+04  2.432E+04  1.601E+04  1.055E+04  6.690E+03  4.243E+03  2.819E+03  1.873E+03  6.290E+02  1.731E+02  3.432E+01  3.991E+00
3.2  2.649E+07  1.327E+07  7.958E+06  5.711E+06  4.098E+06  3.308E+06  2.671E+06  2.184E+06  1.810E+06  1.500E+06  1.054E+06  7.403E+05  5.091E+05  3.501E+05  2.328E+05  1.548E+05  1.064E+05  7.305E+04  4.906E+04  3.295E+04  2.186E+04  1.450E+04  8.839E+03  5.389E+03  3.553E+03  2.342E+03  6.283E+02  1.496E+02  2.943E+01  4.981E+00
3.3  2.887E+07  1.468E+07  8.888E+06  6.404E+06  4.614E+06  3.713E+06  2.988E+06  2.449E+06  2.045E+06  1.708E+06  1.196E+06  8.382E+05  5.797E+05  4.009E+05  2.763E+05  1.905E+05  1.281E+05  8.621E+04  5.758E+04  3.846E+04  2.473E+04  1.591E+04  9.427E+03  5.586E+03  3.337E+03  1.993E+03  4.950E+02  1.094E+02  2.101E+01  3.529E+00
